,title,price,year,link,category,age
119,pair colorful flowers painted canvas,20,,https://charlottesville.craigslist.org/fuo/d/troy-pair-colorful-flowers-painted/7886570151.html,missing,
120,framed picture,20,,https://charlottesville.craigslist.org/fuo/d/troy-framed-picture/7886570614.html,missing,
121,ikea king size bedframe and nightstands,200,,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-king-size-bedframe/7906156204.html,missing,
122,antique chair,45,,https://charlottesville.craigslist.org/fuo/d/charlottesville-antique-chair/7893306184.html,chair,
123,antique chair,45,,https://charlottesville.craigslist.org/fuo/d/barboursville-antique-chair/7874144458.html,chair,
124,vintage metal full bed headboard/footboard,20,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-metal-full-bed-headboard/7889405235.html,missing,
125,cool set electric lighted owls,30,,https://charlottesville.craigslist.org/fuo/d/troy-cool-set-electric-lighted-owls/7889741651.html,missing,
126,red storage box,5,,https://charlottesville.craigslist.org/fuo/d/troy-red-storage-box/7892581884.html,missing,
127,bunch framed pictures,5,,https://charlottesville.craigslist.org/fuo/d/troy-bunch-framed-pictures/7897049515.html,missing,
128,solid wood chest of drawer!,225,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-solid-wood-chest-of-drawer/7908741202.html,missing,
129,oak wardrobe chest,350,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-oak-wardrobe-chest/7908737146.html,missing,
130,oak long dresser with mirror!,395,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-oak-long-dresser-with-mirror/7908739216.html,dresser,
131,oak chest of drawer!,350,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-oak-chest-of-drawer/7908736210.html,missing,
132,"highboy chest, 2pc",450,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-highboy-chest-2pc/7908735642.html,missing,
133,small table set!,125,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-small-table-set/7902990395.html,table,
134,solid oak vintage desk!,295,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-solid-oak-vintage-desk/7895717429.html,missing,
135,pair of stools!,45,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-pair-of-stools/7886020309.html,missing,
136,pub table set!,125,,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-pub-table-set/7886018951.html,table,
137,mantle clock,500,,https://charlottesville.craigslist.org/fuo/d/quinque-mantle-clock/7904075771.html,missing,
138,vintage berman bronze & art glass deco style table lamps,125,,https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-berman-bronze/7912147487.html,table,
139,rock and roll art print,150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-rock-and-roll-art-print/7910497963.html,missing,
140,mahogany display table with serving tray,150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-mahogany-display-table/7881158584.html,table,
141,queen anne style upholstered chair,175,,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-anne-style/7887062392.html,chair,
142,mahogany end tables,250,,https://charlottesville.craigslist.org/fuo/d/charlottesville-mahogany-end-tables/7882857444.html,table,
143,laundry hamper / storage,40,,https://charlottesville.craigslist.org/fuo/d/charlottesville-laundry-hamper-storage/7903377646.html,missing,
144,beautiful oak end tables,225,,https://charlottesville.craigslist.org/fuo/d/charlottesville-beautiful-oak-end-tables/7903377594.html,table,
145,flexible gooseneck desk lamp,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-flexible-gooseneck-desk/7906204982.html,desk,
146,rock and roll art print,150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-rock-and-roll-art-print/7911715594.html,missing,
147,qashqai persian oriental rug,200,,https://charlottesville.craigslist.org/fuo/d/lexington-qashqai-persian-oriental-rug/7912101579.html,missing,
148,4 tier wire storage cubicles,15,,https://charlottesville.craigslist.org/fuo/d/troy-tier-wire-storage-cubicles/7891597352.html,missing,
149,cd tower storage cabinet,10,,https://charlottesville.craigslist.org/fuo/d/troy-cd-tower-storage-cabinet/7891599107.html,cabinet,
150,vintage child's desk,75,,https://charlottesville.craigslist.org/fuo/d/quinque-vintage-childs-desk/7908625577.html,desk,
151,cherb gold color decorative frame,30,,https://charlottesville.craigslist.org/fuo/d/troy-cherb-gold-color-decorative-frame/7901143248.html,missing,
152,wooden cd/dvd holders,20,,https://charlottesville.craigslist.org/fuo/d/earlysville-wooden-cd-dvd-holders/7905296031.html,missing,
153,glass 3 shelf desk,39,,https://charlottesville.craigslist.org/fuo/d/crozet-glass-shelf-desk/7908806352.html,desk,
154,zuri black leather executive desk chair,100,,https://charlottesville.craigslist.org/fuo/d/crozet-zuri-black-leather-executive/7908805902.html,desk,
155,vintage 1970's chevrolet tailgate bench,300,1970.0,https://charlottesville.craigslist.org/fuo/d/crozet-vintage-1970s-chevrolet-tailgate/7906010557.html,missing,55.0
156,early mid 1900's egg and dart detailed book case,100,1900.0,https://charlottesville.craigslist.org/fuo/d/crozet-early-mid-1900s-egg-and-dart/7906112369.html,missing,125.0
157,large cherry storage armoire,250,,https://charlottesville.craigslist.org/fuo/d/crozet-large-cherry-storage-armoire/7906113707.html,missing,
158,bench/flower stand,20,,https://charlottesville.craigslist.org/fuo/d/troy-bench-flower-stand/7880826471.html,missing,
159,gold / tan soft chenille velvet feel chaise lounge sofa chair,50,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-gold-tan-soft/7911986135.html,sofa,
160,do you need help loading or unloading your truck?,65,,https://charlottesville.craigslist.org/fuo/d/charlottesville-do-you-need-help/7881120749.html,missing,
161,pair of midcentury modern vintage lamps with 3-way lighting,100,,https://charlottesville.craigslist.org/fuo/d/charlottesville-pair-of-midcentury/7896342353.html,lamp,
162,ikea wooden storage cabinet (2),60,,https://charlottesville.craigslist.org/fuo/d/greenwood-ikea-wooden-storage-cabinet/7884678392.html,cabinet,
163,vintage heavy duty solid brass matching table lamps,150,,https://charlottesville.craigslist.org/fuo/d/greenwood-vintage-heavy-duty-solid/7910078342.html,table,
164,metal side table with glass top,70,,https://charlottesville.craigslist.org/fuo/d/greenwood-metal-side-table-with-glass/7905377898.html,table,
165,vintage handmade wooden table with magazine/newspaper holder,40,,https://charlottesville.craigslist.org/fuo/d/white-hall-vintage-handmade-wooden/7904722873.html,table,
166,derk hansen woodland monarch framed deer picture,30,,https://charlottesville.craigslist.org/fuo/d/troy-derk-hansen-woodland-monarch/7904100956.html,missing,
167,beautiful frame colorful pheasants picture,20,,https://charlottesville.craigslist.org/fuo/d/troy-beautiful-frame-colorful-pheasants/7904101319.html,missing,
168,pair wood decorative bar stools,20,,https://charlottesville.craigslist.org/fuo/d/troy-pair-wood-decorative-bar-stools/7906657949.html,missing,
169,"runner 9'  3""",30,,https://charlottesville.craigslist.org/fuo/d/troy-runner-3/7904676166.html,missing,
170,free recliner = uhaul and it is yours,0,,https://charlottesville.craigslist.org/fuo/d/palmyra-free-recliner-uhaul-and-it-is/7909502036.html,missing,
171,black wood desk,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-black-wood-desk/7905358753.html,desk,
172,white wooden twin bed frame,35,,https://charlottesville.craigslist.org/fuo/d/charlottesville-white-wooden-twin-bed/7905358086.html,missing,
173,metal foldable table,10,,https://charlottesville.craigslist.org/fuo/d/columbia-metal-foldable-table/7911924483.html,table,
174,white twin wicker headboard/frame/slats/mattress,60,,https://charlottesville.craigslist.org/fuo/d/troy-white-twin-wicker-headboard-frame/7879196016.html,missing,
175,pair lamps good condition have feature  nite lite,40,,https://charlottesville.craigslist.org/fuo/d/troy-pair-lamps-good-condition-have/7904021789.html,lamp,
176,wood drop leaf table,50,,https://charlottesville.craigslist.org/fuo/d/troy-wood-drop-leaf-table/7880796457.html,table,
177,sturdy drop leaf table 2 chairs,70,,https://charlottesville.craigslist.org/fuo/d/troy-sturdy-drop-leaf-table-chairs/7881502826.html,table,
178,drop leaf table,50,,https://charlottesville.craigslist.org/fuo/d/troy-drop-leaf-table/7887205552.html,table,
179,reclining leather couch,165,,https://charlottesville.craigslist.org/fuo/d/charlottesville-reclining-leather-couch/7887539731.html,missing,
180,twin or bunk beds -- vaughan of virginia,600,,https://charlottesville.craigslist.org/fuo/d/charlottesville-twin-or-bunk-beds/7877804026.html,missing,
181,turkmen persian oriental rug,350,,https://charlottesville.craigslist.org/fuo/d/lexington-turkmen-persian-oriental-rug/7911878613.html,missing,
182,hamadan persian oriental rug runner,450,,https://charlottesville.craigslist.org/fuo/d/lexington-hamadan-persian-oriental-rug/7911877148.html,missing,
183,2 vintage thomasville living room end tables,100,,https://charlottesville.craigslist.org/fuo/d/dillwyn-vintage-thomasville-living-room/7908922326.html,table,
184,solid wooden handmade queen/full size bed frame,350,,https://charlottesville.craigslist.org/fuo/d/greenwood-solid-wooden-handmade-queen/7902920710.html,missing,
185,handmade solid wooden table,75,,https://charlottesville.craigslist.org/fuo/d/greenwood-handmade-solid-wooden-table/7907618845.html,table,
186,"chinese, ""carved"" 90-line, hand knotted wool runner 11' x 28""",1288,,https://charlottesville.craigslist.org/fuo/d/charlottesville-chinese-carved-90-line/7911822621.html,missing,
187,"chinese handcrafted carpet, large 10' 3"" x 8' x 0.5""",1480,,https://charlottesville.craigslist.org/fuo/d/charlottesville-chinese-handcrafted/7911791145.html,missing,
188,area rugs 8x10 5x7 delivery available,1,,https://charlottesville.craigslist.org/fuo/d/charlottesville-area-rugs-8x10-5x7/7910281596.html,missing,
189,thomas jackson stonewall michael gnateks,500,,https://charlottesville.craigslist.org/fuo/d/north-garden-thomas-jackson-stonewall/7909627189.html,missing,
190,large and medium area rugs in excellent pet/smoke free condition,100,,https://charlottesville.craigslist.org/fuo/d/north-garden-large-and-medium-area-rugs/7908570681.html,missing,
191,stanley furniture shelving hutch and desk,1,,https://charlottesville.craigslist.org/fuo/d/north-garden-stanley-furniture-shelving/7908051833.html,desk,
192,modern dining chairs - six,50,,https://charlottesville.craigslist.org/fuo/d/charlottesville-modern-dining-chairs-six/7908377635.html,chair,
193,solid wood console table,325,,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-wood-console-table/7908377564.html,table,
194,solid wood bar chairs,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-wood-bar-chairs/7908377475.html,chair,
195,solid wood end table,120,,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-wood-end-table/7911754919.html,table,
196,macy's used sofa- teal,125,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-macys-used-sofa-teal/7911752751.html,missing,
197,dining chairs 3 /4 white west elm vintage bentwood,150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-dining-chairs-4-white/7911731911.html,chair,
198,granite bistro table & chairs,235,,https://charlottesville.craigslist.org/fuo/d/barboursville-granite-bistro-table/7893562587.html,table,
199,ikea toddler bed.,200,,https://charlottesville.craigslist.org/fuo/d/barboursville-ikea-toddler-bed/7893562520.html,missing,
200,curio cabinets,250,,https://charlottesville.craigslist.org/fuo/d/barboursville-curio-cabinets/7893562640.html,cabinet,
201,modern steel bar stools,325,,https://charlottesville.craigslist.org/fuo/d/charlottesville-modern-steel-bar-stools/7904586901.html,missing,
202,mahal persian oriental rug,400,,https://charlottesville.craigslist.org/fuo/d/lexington-mahal-persian-oriental-rug/7911673432.html,missing,
203,bakhtiari persian oriental rug,450,,https://charlottesville.craigslist.org/fuo/d/lexington-bakhtiari-persian-oriental-rug/7911665548.html,missing,
204,"dresser, 7-drawer",75,,https://charlottesville.craigslist.org/fuo/d/charlottesville-dresser-drawer/7911649713.html,missing,
205,bamboo bar stool,15,,https://charlottesville.craigslist.org/fuo/d/charlottesville-bamboo-bar-stool/7876174284.html,missing,
206,shelving system,20,,https://charlottesville.craigslist.org/fuo/d/charlottesville-shelving-system/7909301290.html,missing,
207,posture chair,20,,https://charlottesville.craigslist.org/fuo/d/charlottesville-posture-chair/7909300675.html,chair,
208,queen size mattress topper - less than 5 months old,55,,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-size-mattress/7909300193.html,missing,
209,grapevine table,2800,,https://charlottesville.craigslist.org/fuo/d/somerset-grapevine-table/7882421991.html,table,
